#{"t_start": 1772578853.4440567, "env_id": "MountainCarContinuous-v0"}
r,l,t--77.980773,228,524.071012
86.764306,139,524.171746
87.656742,129,575.407833
88.593494,117,575.879313
88.596654,117,575.966114
88.132048,123,576.057837
89.375521,109,631.509323
89.213643,111,631.59133
89.244053,110,631.670487
89.314128,110,631.75827
89.902094,103,690.317183
90.025407,102,690.781473
89.798929,104,690.861603
90.025228,102,690.946577
90.383808,100,750.507532
93.185425,72,750.560513
90.200529,100,750.635482
90.410488,100,750.707985
92.998728,72,750.758232
90.382069,101,810.21761
93.153507,72,810.269
90.359873,100,810.343292
92.859364,73,810.396792
93.04658,71,810.446869
92.961283,72,810.498173
92.855008,73,867.846519
92.983619,73,867.899087
92.934713,72,868.187554
93.038752,71,868.565354
93.075768,71,868.620587
92.983191,73,868.676536
92.971294,72,927.16669
93.041718,71,927.218696
92.960776,72,927.270958
92.960818,72,927.323105
92.959335,72,927.376174
92.992583,72,927.690932
93.055359,71,986.13789
93.156831,70,986.193042
93.148881,70,986.254677
93.106803,71,986.31587
93.055186,71,986.377386
93.056537,71,986.437281
93.169462,70,986.496955
93.199884,70,1074.678088
93.248387,69,1075.079255
93.248333,69,1075.131569
93.257919,69,1075.182523
93.201149,70,1075.232535
93.264126,69,1075.281216
93.25359,69,1075.330392
93.251539,69,1123.896756
93.197836,70,1123.947997
93.135203,70,1124.218573
93.242345,69,1124.611722
93.253202,69,1124.667857
93.281215,69,1124.718282
93.140088,70,1124.769325
93.200839,70,1183.075928
93.274176,69,1183.127663
93.205628,70,1183.180004
93.226477,69,1183.23154
93.225613,69,1183.530244
93.291647,69,1183.915342
93.262822,69,1183.965651
93.363034,68,1243.959798
93.219562,69,1244.008769
93.330779,68,1244.056108
93.326872,68,1244.104764
93.33066,68,1244.152643
93.360118,68,1244.200233
93.334203,68,1244.460746
93.37917,68,1309.993526
93.336795,68,1310.041003
93.367981,68,1310.090815
93.341133,68,1310.138191
93.405657,68,1310.186126
93.344235,68,1310.238628
93.353567,68,1310.296244
93.39756,68,1366.583086
93.390048,68,1366.965599
93.368871,68,1367.020558
93.435175,67,1367.073328
93.360892,68,1367.126301
93.394753,68,1367.178704
93.362434,68,1367.230275
93.330845,68,1426.520783
93.368948,68,1426.56979
93.36596,68,1426.834733
93.414415,67,1427.233624
93.416717,67,1427.282829
93.364337,68,1427.331018
93.399262,68,1427.378952
93.44305,67,1483.350742
93.449643,67,1483.401136
93.443859,67,1483.45014
93.443144,67,1483.499199
93.364274,68,1483.822612
93.442172,67,1484.205508
93.362184,68,1484.253911
93.451729,67,1539.227678
93.447317,67,1539.274249
93.480149,68,1539.321908
93.45688,67,1539.368944
93.486537,67,1539.414928
93.454421,68,1539.46216
93.460941,67,1539.72267
69.383477
93.340974,68,1369.654231
93.409021,67,1429.936184
93.439259,67,1429.98912
93.450178,67,1430.042461
93.369511,68,1430.098855
93.45331,67,1430.153005
93.39238,68,1486.137855
93.413236,67,1486.193502
93.362738,68,1486.521621
93.376957,68,1486.935951
93.444419,67,1486.99077
93.396013,67,1542.658041
93.443858,67,1542.710662
93.398516,68,1542.764546
93.456251,67,1542.817539
93.399675,67,1542.869665
26645188.589514,120,48779.45097587.989568,125,48788.13189486.861628,140,48779.59010480.051453,210,48878.336865,232,488.885391
78.944742,229,489.510975
78.338573,229,490.097973
79.163801,218,490.514951
88.47578,122,490.742591
63.000631,399,499.561303
86.532519,142,499.83829
88.228672,128,500.091288
88.313853,123,500.332659
86.464452,142,500.612624
82.988079.591504,221,500.787.25687.333197,135,500.9986.92679.762301,213,501.4279.37687.204517,138,501.6980.44791,205,502.317093
88.260427,123,502.57313
87.8927256.574927,462,511.126974
80.987923,202,511.527918
64.048289,392,512.320685
86.630306,140,512.602621
87.78081,130,512.865666
87.58627,131,513.130034
87.821023,129,513.388832
71.637972,293,513.964954
85.931624,146,514.260756
79.451772,213,514.68388
78.969362,225,523.189114
88.403981,124,528.018487
85.350081,154,528.322748
88.348821,127,528.580657
88.422031,122,528.799844
89.029517,119,529.017195
87.325901,137,529.281225
89.354531,114,529.496403
88.253661,124,52960.424107,418,530.418776
87.698162,130,530.660822
88.170716,126,530.893178
89.068398,119,531.112829
88.454144,123,531.338611
87.9374078.815468,226,531.87.8526087.595739,132,539.87.7726387.679138,125,539.88.1206188.350606,125,539.88.9251689.5995,111,539.6889.40687.794413,129,539.9287.65988.366635,122,540.1588.55188.81812,120,540.36882.8087.774435,126,540.5984.11787.85768,125,540.82287.8180.592708,205,541.198886.389.153137,117,541.410587.187.526578,131,541.650686.89.013753,115,541.864486.988.131689,124,542.090388.587.84396,129,542.32888.5586.689916,142,542.58884.5588.788241,122,550.06887.3181.288857,199,550.4375.704542,259,550.908922
87.552327,131,551.143898
88.16881.510559,203,551.2889.56781.236864,201,551.6486.27289.321795,116,551.8687.15789.632047,115,552.080.549188.686799,125,552.284.966823,159,552.743963
89.796591,109,552.949508
88.686839,118,553.179498
88.896429,118,553.400769
87.867094,126,553.636082
83.094691,181,561.74591
86.711541,143,562.07831
88.237462,123,562.304178
88.786912,119,562.527371
88.017758,124,562.759482
88.487568,119,562.985759
88.904087,119,563.224808
79.734869,210,563.680249
